word,model,sentence_label,sentence,criterion,criterion_tr,rating,participant_id
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,5,0
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,1
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,5,2
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,3
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,4
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,5
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,5,6
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,3,7
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,5,8
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,9
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,10
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,5,11
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,5,12
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,5,13
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,14
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,3,15
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,3,16
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,17
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Word Usage,Kelime Kullanımı,4,18
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,4,0
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,4,1
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,2
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,3
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,4,4
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,4,5
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,6
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,3,7
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,8
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,4,9
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,4,10
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,11
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,12
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,13
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,3,14
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,3,15
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,4,16
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,5,17
agency,mistralai_Ministral-8B-Instruct-2410,Sentence A,The agency has been helping me find a new job.,Level Appropriateness,Anlaşılırlık,3,18
