word,model,rating
agency,Claude_Sonnet_4.5,4.105
agency,Gemini_Pro_2.5,3.711
agency,Llama-3.2-1B-Instruct,4.132
agency,Llama-3.2-1B-Instruct-FineTuned,4.105
agency,Llama-3.2-8B-Instruct,3.934
agency,mistralai_Ministral-8B-Instruct-2410,3.947
alter,Claude_Sonnet_4.5,3.487
alter,Gemini_Pro_2.5,3.605
alter,Llama-3.2-1B-Instruct,3.513
alter,Llama-3.2-1B-Instruct-FineTuned,3.513
alter,Llama-3.2-8B-Instruct,3.461
alter,mistralai_Ministral-8B-Instruct-2410,3.487
extend,Claude_Sonnet_4.5,4.276
extend,Gemini_Pro_2.5,3.908
extend,Llama-3.2-1B-Instruct,3.934
extend,Llama-3.2-1B-Instruct-FineTuned,4.184
extend,Llama-3.2-8B-Instruct,3.934
extend,mistralai_Ministral-8B-Instruct-2410,3.987
heaven,Claude_Sonnet_4.5,4.132
heaven,Gemini_Pro_2.5,4.158
heaven,Llama-3.2-1B-Instruct,3.697
heaven,Llama-3.2-1B-Instruct-FineTuned,4.105
heaven,Llama-3.2-8B-Instruct,3.487
heaven,mistralai_Ministral-8B-Instruct-2410,4.316
hollow,Claude_Sonnet_4.5,3.974
hollow,Gemini_Pro_2.5,3.618
hollow,Llama-3.2-1B-Instruct,3.474
hollow,Llama-3.2-1B-Instruct-FineTuned,3.618
hollow,Llama-3.2-8B-Instruct,3.868
hollow,mistralai_Ministral-8B-Instruct-2410,4.013
imply,Claude_Sonnet_4.5,4.158
imply,Gemini_Pro_2.5,3.895
imply,Llama-3.2-1B-Instruct,3.632
imply,Llama-3.2-1B-Instruct-FineTuned,3.974
imply,Llama-3.2-8B-Instruct,4.026
imply,mistralai_Ministral-8B-Instruct-2410,4.0
numerous,Claude_Sonnet_4.5,4.105
numerous,Gemini_Pro_2.5,3.895
numerous,Llama-3.2-1B-Instruct,3.921
numerous,Llama-3.2-1B-Instruct-FineTuned,3.579
numerous,Llama-3.2-8B-Instruct,3.632
numerous,mistralai_Ministral-8B-Instruct-2410,4.237
opponent,Claude_Sonnet_4.5,4.105
opponent,Gemini_Pro_2.5,3.737
opponent,Llama-3.2-1B-Instruct,3.868
opponent,Llama-3.2-1B-Instruct-FineTuned,3.947
opponent,Llama-3.2-8B-Instruct,4.079
opponent,mistralai_Ministral-8B-Instruct-2410,4.039
process,Claude_Sonnet_4.5,4.303
process,Gemini_Pro_2.5,4.211
process,Llama-3.2-1B-Instruct,3.789
process,Llama-3.2-1B-Instruct-FineTuned,4.184
process,Llama-3.2-8B-Instruct,4.184
process,mistralai_Ministral-8B-Instruct-2410,4.263
wise,Claude_Sonnet_4.5,4.237
wise,Gemini_Pro_2.5,4.316
wise,Llama-3.2-1B-Instruct,3.855
wise,Llama-3.2-1B-Instruct-FineTuned,4.0
wise,Llama-3.2-8B-Instruct,3.711
wise,mistralai_Ministral-8B-Instruct-2410,4.158
