model,mean,std,count,rank,criterion
Gemini_Pro_2.5,4.004,0.87,240,1,Grammatical Accuracy
mistralai_Ministral-8B-Instruct-2410,3.958,0.993,240,2,Grammatical Accuracy
Llama-3.2-1B-Instruct-FineTuned,3.954,0.893,240,3,Grammatical Accuracy
Claude_Sonnet_4.5,3.908,0.937,240,4,Grammatical Accuracy
Llama-3.2-8B-Instruct,3.908,0.959,240,5,Grammatical Accuracy
Llama-3.2-1B-Instruct,3.758,0.985,240,6,Grammatical Accuracy
Gemini_Pro_2.5,4.15,0.864,240,1,Level Appropriateness
Llama-3.2-1B-Instruct-FineTuned,4.146,0.877,240,2,Level Appropriateness
mistralai_Ministral-8B-Instruct-2410,4.1,0.895,240,3,Level Appropriateness
Claude_Sonnet_4.5,4.083,0.897,240,4,Level Appropriateness
Llama-3.2-8B-Instruct,4.025,0.901,240,5,Level Appropriateness
Llama-3.2-1B-Instruct,3.779,0.988,240,6,Level Appropriateness
Llama-3.2-1B-Instruct-FineTuned,3.979,0.97,240,1,Naturalness
Llama-3.2-8B-Instruct,3.962,0.902,240,2,Naturalness
Gemini_Pro_2.5,3.942,0.949,240,3,Naturalness
Claude_Sonnet_4.5,3.917,0.982,240,4,Naturalness
mistralai_Ministral-8B-Instruct-2410,3.912,0.983,240,5,Naturalness
Llama-3.2-1B-Instruct,3.683,1.019,240,6,Naturalness
Gemini_Pro_2.5,4.188,0.809,240,1,Word Usage
Llama-3.2-1B-Instruct-FineTuned,4.112,0.858,240,2,Word Usage
mistralai_Ministral-8B-Instruct-2410,4.058,0.89,240,3,Word Usage
Claude_Sonnet_4.5,4.033,0.877,240,4,Word Usage
Llama-3.2-8B-Instruct,3.992,0.924,240,5,Word Usage
Llama-3.2-1B-Instruct,3.846,0.967,240,6,Word Usage
