model,criterion,mean,std,count
Claude_Sonnet_4.5,Grammatical Accuracy,3.908,0.937,240
Claude_Sonnet_4.5,Level Appropriateness,4.083,0.897,240
Claude_Sonnet_4.5,Naturalness,3.917,0.982,240
Claude_Sonnet_4.5,Word Usage,4.033,0.877,240
Gemini_Pro_2.5,Grammatical Accuracy,4.004,0.87,240
Gemini_Pro_2.5,Level Appropriateness,4.15,0.864,240
Gemini_Pro_2.5,Naturalness,3.942,0.949,240
Gemini_Pro_2.5,Word Usage,4.188,0.809,240
Llama-3.2-1B-Instruct,Grammatical Accuracy,3.758,0.985,240
Llama-3.2-1B-Instruct,Level Appropriateness,3.779,0.988,240
Llama-3.2-1B-Instruct,Naturalness,3.683,1.019,240
Llama-3.2-1B-Instruct,Word Usage,3.846,0.967,240
Llama-3.2-1B-Instruct-FineTuned,Grammatical Accuracy,3.954,0.893,240
Llama-3.2-1B-Instruct-FineTuned,Level Appropriateness,4.146,0.877,240
Llama-3.2-1B-Instruct-FineTuned,Naturalness,3.979,0.97,240
Llama-3.2-1B-Instruct-FineTuned,Word Usage,4.112,0.858,240
Llama-3.2-8B-Instruct,Grammatical Accuracy,3.908,0.959,240
Llama-3.2-8B-Instruct,Level Appropriateness,4.025,0.901,240
Llama-3.2-8B-Instruct,Naturalness,3.962,0.902,240
Llama-3.2-8B-Instruct,Word Usage,3.992,0.924,240
mistralai_Ministral-8B-Instruct-2410,Grammatical Accuracy,3.958,0.993,240
mistralai_Ministral-8B-Instruct-2410,Level Appropriateness,4.1,0.895,240
mistralai_Ministral-8B-Instruct-2410,Naturalness,3.912,0.983,240
mistralai_Ministral-8B-Instruct-2410,Word Usage,4.058,0.89,240
