model,mean,std,count,rank,criterion
Claude_Sonnet_4.5,3.567,1.071,150,1,Grammatical Accuracy
Gemini_Pro_2.5,3.46,1.133,150,2,Grammatical Accuracy
mistralai_Ministral-8B-Instruct-2410,3.367,1.102,150,3,Grammatical Accuracy
Llama-3.2-1B-Instruct-FineTuned,3.36,1.119,150,4,Grammatical Accuracy
Llama-3.2-8B-Instruct,3.327,1.059,150,5,Grammatical Accuracy
Llama-3.2-1B-Instruct,3.127,1.107,150,6,Grammatical Accuracy
Claude_Sonnet_4.5,3.753,1.016,150,1,Level Appropriateness
Gemini_Pro_2.5,3.68,1.038,150,2,Level Appropriateness
mistralai_Ministral-8B-Instruct-2410,3.613,1.028,150,3,Level Appropriateness
Llama-3.2-1B-Instruct-FineTuned,3.447,1.19,150,4,Level Appropriateness
Llama-3.2-8B-Instruct,3.42,1.113,150,5,Level Appropriateness
Llama-3.2-1B-Instruct,3.24,1.185,150,6,Level Appropriateness
Claude_Sonnet_4.5,3.42,1.088,150,1,Naturalness
Gemini_Pro_2.5,3.287,1.064,150,2,Naturalness
mistralai_Ministral-8B-Instruct-2410,3.22,1.055,150,3,Naturalness
Llama-3.2-1B-Instruct-FineTuned,3.133,1.18,150,4,Naturalness
Llama-3.2-8B-Instruct,3.033,1.102,150,5,Naturalness
Llama-3.2-1B-Instruct,2.82,1.159,150,6,Naturalness
Claude_Sonnet_4.5,3.533,1.047,150,1,Word Usage
Gemini_Pro_2.5,3.447,0.987,150,2,Word Usage
mistralai_Ministral-8B-Instruct-2410,3.413,1.057,150,3,Word Usage
Llama-3.2-1B-Instruct-FineTuned,3.307,1.123,150,4,Word Usage
Llama-3.2-8B-Instruct,3.28,1.017,150,5,Word Usage
Llama-3.2-1B-Instruct,3.06,1.088,150,6,Word Usage
