word,model,rating
ability,Claude_Sonnet_4.5,3.733
ability,Gemini_Pro_2.5,3.533
ability,Llama-3.2-1B-Instruct,3.283
ability,Llama-3.2-1B-Instruct-FineTuned,3.567
ability,Llama-3.2-8B-Instruct,2.967
ability,mistralai_Ministral-8B-Instruct-2410,3.417
affect,Claude_Sonnet_4.5,4.133
affect,Gemini_Pro_2.5,3.567
affect,Llama-3.2-1B-Instruct,1.917
affect,Llama-3.2-1B-Instruct-FineTuned,3.617
affect,Llama-3.2-8B-Instruct,3.617
affect,mistralai_Ministral-8B-Instruct-2410,3.833
almost,Claude_Sonnet_4.5,3.567
almost,Gemini_Pro_2.5,3.1
almost,Llama-3.2-1B-Instruct,3.6
almost,Llama-3.2-1B-Instruct-FineTuned,3.283
almost,Llama-3.2-8B-Instruct,2.933
almost,mistralai_Ministral-8B-Instruct-2410,2.517
board,Claude_Sonnet_4.5,3.85
board,Gemini_Pro_2.5,3.867
board,Llama-3.2-1B-Instruct,3.2
board,Llama-3.2-1B-Instruct-FineTuned,3.283
board,Llama-3.2-8B-Instruct,4.233
board,mistralai_Ministral-8B-Instruct-2410,3.35
coal,Claude_Sonnet_4.5,3.433
coal,Gemini_Pro_2.5,3.383
coal,Llama-3.2-1B-Instruct,2.633
coal,Llama-3.2-1B-Instruct-FineTuned,2.517
coal,Llama-3.2-8B-Instruct,2.717
coal,mistralai_Ministral-8B-Instruct-2410,3.267
connect,Claude_Sonnet_4.5,3.667
connect,Gemini_Pro_2.5,3.867
connect,Llama-3.2-1B-Instruct,3.05
connect,Llama-3.2-1B-Instruct-FineTuned,2.567
connect,Llama-3.2-8B-Instruct,2.967
connect,mistralai_Ministral-8B-Instruct-2410,3.4
context,Claude_Sonnet_4.5,2.9
context,Gemini_Pro_2.5,3.05
context,Llama-3.2-1B-Instruct,3.233
context,Llama-3.2-1B-Instruct-FineTuned,3.433
context,Llama-3.2-8B-Instruct,3.4
context,mistralai_Ministral-8B-Instruct-2410,3.683
remove,Claude_Sonnet_4.5,3.267
remove,Gemini_Pro_2.5,3.133
remove,Llama-3.2-1B-Instruct,2.883
remove,Llama-3.2-1B-Instruct-FineTuned,3.467
remove,Llama-3.2-8B-Instruct,3.033
remove,mistralai_Ministral-8B-Instruct-2410,3.383
surprised,Claude_Sonnet_4.5,3.583
surprised,Gemini_Pro_2.5,3.467
surprised,Llama-3.2-1B-Instruct,3.267
surprised,Llama-3.2-1B-Instruct-FineTuned,3.85
surprised,Llama-3.2-8B-Instruct,3.45
surprised,mistralai_Ministral-8B-Instruct-2410,3.667
typical,Claude_Sonnet_4.5,3.55
typical,Gemini_Pro_2.5,3.717
typical,Llama-3.2-1B-Instruct,3.55
typical,Llama-3.2-1B-Instruct-FineTuned,3.533
typical,Llama-3.2-8B-Instruct,3.333
typical,mistralai_Ministral-8B-Instruct-2410,3.517
